nome,categoria,marca,unidade,codigo_barras,descricao
Leite Integral,Laticínios,Ninho,L,7891000100103,Leite integral UHT 1L
Leite Desnatado,Laticínios,Parmalat,L,7896034015759,Leite desnatado UHT 1L
Iogurte Natural,Laticínios,Danone,un,7891025101764,Iogurte natural integral 170g
Queijo Mussarela,Laticínios,Polenghi,kg,7891080400026,Queijo mussarela fatiado
Manteiga com Sal,Laticínios,Aviação,un,7891515901011,Manteiga com sal 200g
Arroz Branco Tipo 1,Grãos,Tio João,kg,7891234567890,Arroz branco tipo 1 5kg
Arroz Integral,Grãos,Camil,kg,7896006700009,Arroz integral tipo 1 1kg
Feijão Carioca,Grãos,Camil,kg,7896006716476,Feijão carioca tipo 1 1kg
Feijão Preto,Grãos,Kicaldo,kg,7896005412013,Feijão preto tipo 1 1kg
Lentilha,Grãos,Yoki,kg,7891095100459,Lentilha 500g
Macarrão Espaguete,Massas,Barilla,pct,7613035137028,Macarrão espaguete 500g
Macarrão Parafuso,Massas,Adria,pct,7896000000015,Macarrão parafuso 500g
Farinha de Trigo,Farináceos,Dona Benta,kg,7896004400101,Farinha de trigo especial 1kg
Farinha de Mandioca,Farináceos,Yoki,kg,7891095100428,Farinha de mandioca torrada 500g
Amido de Milho,Farináceos,Maisena,pct,7891000053508,Amido de milho 400g
Açúcar Cristal,Açúcar,União,kg,7891910000197,Açúcar cristal branco 1kg
Açúcar Refinado,Açúcar,Guarani,kg,7891910000210,Açúcar refinado especial 1kg
Açúcar Mascavo,Açúcar,Native,kg,7896496905011,Açúcar mascavo orgânico 500g
Café Torrado Moído,Bebidas,Pilão,pct,7896089010079,Café torrado e moído 500g
Café Solúvel,Bebidas,Nescafé,un,7891000053447,Café solúvel original 200g
Chá Preto,Bebidas,Lipton,cx,7891098010028,Chá preto 25 sachês
Suco de Laranja,Bebidas,Del Valle,L,7894321719015,Suco de laranja integral 1L
Refrigerante Cola,Bebidas,Coca-Cola,L,7894900700015,Refrigerante cola 2L
Água Mineral,Bebidas,Crystal,L,7891098025015,Água mineral sem gás 1,5L
Azeite de Oliva,Óleos,Gallo,L,5601252008209,Azeite de oliva extravirgem 500ml
Óleo de Soja,Óleos,Soya,L,7896000596218,Óleo de soja refinado 900ml
Vinagre de Álcool,Óleos,Heinz,L,7896102501200,Vinagre de álcool branco 750ml
Sal Refinado,Temperos,Cisne,kg,7891022801027,Sal refinado iodado 1kg
